Keycontrol_PE(
  (FeedForward): Sequential(
    (0): Linear(in_features=1, out_features=160, bias=True)
    (1): GELU(approximate='none')
    (2): Linear(in_features=160, out_features=160, bias=True)
    (3): GELU(approximate='none')
  )
  (out): Linear(in_features=160, out_features=160, bias=True)
  (Pe): PositionalEncoding()
)
Params: 0.05184M
[2024/03/06 21:58:24] Rank:None, Epoch[50/1200], Step [132/132], lr:9.96e-05 loss: 0.46926623582839966
[2024/03/06 21:58:26] Rank:None, Epoch[51/1200], Step [1/132], lr:9.96e-05 loss: 0.4703950583934784
[2024/03/06 21:58:27] Rank:None, Epoch[51/1200], Step [51/132], lr:9.96e-05 loss: 0.47501039505004883
[2024/03/06 21:58:27] Rank:None, Epoch[51/1200], Step [101/132], lr:9.96e-05 loss: 0.47289443016052246
[2024/03/06 21:58:28] Rank:None, Epoch[51/1200], Step [132/132], lr:9.96e-05 loss: 0.46989908814430237
[2024/03/06 21:58:30] Rank:None, Epoch[52/1200], Step [1/132], lr:9.96e-05 loss: 0.4726111590862274
[2024/03/06 21:58:31] Rank:None, Epoch[52/1200], Step [51/132], lr:9.95e-05 loss: 0.4612634778022766
[2024/03/06 21:58:31] Rank:None, Epoch[52/1200], Step [101/132], lr:9.95e-05 loss: 0.4611147940158844
[2024/03/06 21:58:31] Rank:None, Epoch[52/1200], Step [132/132], lr:9.95e-05 loss: 0.4770180881023407
[2024/03/06 21:58:34] Rank:None, Epoch[53/1200], Step [1/132], lr:9.95e-05 loss: 0.4702399671077728
[2024/03/06 21:58:34] Rank:None, Epoch[53/1200], Step [51/132], lr:9.95e-05 loss: 0.45938587188720703
[2024/03/06 21:58:35] Rank:None, Epoch[53/1200], Step [101/132], lr:9.95e-05 loss: 0.46132656931877136
[2024/03/06 21:58:35] Rank:None, Epoch[53/1200], Step [132/132], lr:9.95e-05 loss: 0.4806990325450897
[2024/03/06 21:58:37] Rank:None, Epoch[54/1200], Step [1/132], lr:9.95e-05 loss: 0.4738018214702606
[2024/03/06 21:58:38] Rank:None, Epoch[54/1200], Step [51/132], lr:9.95e-05 loss: 0.45864763855934143
[2024/03/06 21:58:38] Rank:None, Epoch[54/1200], Step [101/132], lr:9.95e-05 loss: 0.4649897515773773
[2024/03/06 21:58:38] Rank:None, Epoch[54/1200], Step [132/132], lr:9.95e-05 loss: 0.4764377772808075
[2024/03/06 21:58:41] Rank:None, Epoch[55/1200], Step [1/132], lr:9.95e-05 loss: 0.4445765018463135
[2024/03/06 21:58:41] Rank:None, Epoch[55/1200], Step [51/132], lr:9.95e-05 loss: 0.44348278641700745
[2024/03/06 21:58:42] Rank:None, Epoch[55/1200], Step [101/132], lr:9.95e-05 loss: 0.47810816764831543
